route_id,start_location,end_location,total_distance_km,estimated_travel_time_hr,season,day_type,transport_mode,destination_type,popularity_score,traffic_density,entry_fee,accommodation_cost,food_cost,user_budget,user_time_constraint_hr,preferred_transport_mode,preferred_destination,satisfaction_rating
1021,Chennai,Ooty,67.8,10.54,Spring,Weekday,Train,Wildlife Park,0.58,0.69,255,2960,1154,5914,22.5,Bus,Beach,2.36
1022,Delhi,Ooty,493.0,7.44,Spring,Weekend,Bike,Hill Station,0.66,0.47,218,820,1429,7120,16.9,Bike,Wildlife Park,3.89
1023,Mumbai,Agra,88.2,1.33,Monsoon,Weekend,Bus,Temple,0.65,0.85,153,1869,768,8136,12.0,Bike,Museum,2.05
1024,Delhi,Mahabalipuram,123.4,6.15,Summer,Weekday,Walk,Beach,0.21,0.23,136,1529,521,9366,22.5,Bus,Museum,3.87
1025,Kolkata,Mahabalipuram,424.3,2.68,Winter,Weekend,Bike,Hill Station,0.95,0.51,177,1959,485,9961,17.8,Bike,Museum,2.36
1026,Mumbai,Shimla,285.5,3.5,Winter,Weekday,Walk,Wildlife Park,0.29,0.52,283,2683,1317,9736,19.8,Bus,Wildlife Park,2.14
1027,Bangalore,Ooty,269.7,8.87,Summer,Weekend,Car,Hill Station,0.8,0.77,223,4665,1369,8862,17.4,Car,Wildlife Park,2.35
1028,Delhi,Shimla,48.3,4.77,Summer,Weekend,Walk,Temple,0.22,0.21,258,3758,609,1593,17.4,Car,Museum,1.56
1029,Chennai,Ooty,63.3,7.24,Winter,Weekday,Walk,Temple,0.43,0.49,178,1766,693,6743,2.2,Walk,Hill Station,1.08
1030,Delhi,Ooty,205.8,4.76,Winter,Weekday,Train,Wildlife Park,0.57,0.57,209,4704,1188,7548,21.1,Bike,Wildlife Park,4.72
1031,Bangalore,Ooty,394.1,5.58,Winter,Weekend,Car,Hill Station,0.99,0.85,298,3974,744,7722,4.2,Train,Wildlife Park,2.7
1032,Chennai,Shimla,591.3,10.38,Summer,Weekday,Walk,Temple,0.64,0.51,275,1077,1426,8608,21.2,Walk,Temple,4.49
1033,Bangalore,Mahabalipuram,388.4,9.23,Monsoon,Weekday,Bus,Beach,0.37,0.98,299,4617,543,9425,6.8,Bike,Hill Station,3.46
1034,Mumbai,Shimla,434.3,8.16,Winter,Weekday,Walk,Wildlife Park,0.5,0.39,191,996,1406,7768,9.2,Car,Hill Station,4.76
1035,Delhi,Shimla,414.2,7.78,Spring,Weekend,Bus,Beach,0.92,0.92,124,3192,937,2591,12.2,Walk,Temple,3.25
1036,Mumbai,Mahabalipuram,218.8,5.97,Summer,Weekday,Train,Wildlife Park,0.22,0.63,192,4917,610,1417,3.9,Walk,Hill Station,3.28
1037,Kolkata,Goa,387.8,10.86,Summer,Weekend,Walk,Temple,0.26,0.83,113,2872,1255,3716,4.3,Bus,Wildlife Park,1.71
1038,Kolkata,Mahabalipuram,89.3,2.23,Summer,Weekday,Train,Museum,0.75,0.59,285,2988,702,1626,16.1,Bike,Hill Station,1.22
1039,Mumbai,Mahabalipuram,465.6,5.59,Winter,Weekend,Train,Beach,0.3,0.69,158,1298,286,5989,8.7,Bike,Temple,4.84
1040,Kolkata,Agra,117.5,4.29,Winter,Weekday,Bus,Wildlife Park,0.65,0.81,276,2743,364,6997,6.6,Bike,Beach,4.59
1041,Delhi,Goa,10.1,4.49,Summer,Weekend,Bus,Wildlife Park,0.23,0.19,297,3026,1355,1663,11.6,Walk,Beach,1.53
1042,Mumbai,Goa,90.8,4.83,Summer,Weekday,Walk,Museum,0.89,0.47,175,4726,494,2732,9.6,Walk,Beach,3.29
1043,Chennai,Agra,400.8,2.54,Summer,Weekday,Walk,Hill Station,0.47,0.71,207,1267,539,2010,18.3,Bus,Wildlife Park,2.91
1044,Chennai,Shimla,288.3,6.01,Winter,Weekday,Bus,Wildlife Park,0.5,0.59,196,553,1273,3759,22.5,Walk,Wildlife Park,1.89
1045,Bangalore,Mahabalipuram,227.1,3.87,Summer,Weekend,Walk,Hill Station,0.72,0.61,177,1339,689,9501,6.2,Bus,Hill Station,3.28
1046,Chennai,Goa,488.5,7.41,Winter,Weekend,Bike,Museum,0.8,0.47,269,4399,247,2822,14.5,Bus,Wildlife Park,2.39
1047,Chennai,Ooty,205.7,8.63,Winter,Weekday,Bus,Temple,0.43,0.64,294,3617,1500,7545,9.2,Car,Temple,3.37
1048,Chennai,Mahabalipuram,410.6,2.3,Summer,Weekend,Train,Wildlife Park,0.72,0.48,61,3788,1498,4769,14.6,Bus,Wildlife Park,2.29
1049,Chennai,Shimla,369.3,11.4,Winter,Weekend,Bike,Temple,0.87,0.62,148,1286,490,7917,21.9,Car,Museum,4.4
1050,Chennai,Ooty,447.5,9.93,Summer,Weekend,Bike,Temple,0.63,0.57,249,3589,1376,8420,16.5,Walk,Hill Station,2.79
1051,Chennai,Goa,345.8,9.29,Summer,Weekday,Walk,Temple,0.47,0.13,110,2547,629,8030,12.4,Car,Museum,2.81
1052,Kolkata,Goa,262.9,1.47,Summer,Weekend,Car,Temple,0.22,0.57,81,4766,538,9449,9.3,Walk,Wildlife Park,3.85
1053,Kolkata,Agra,388.2,7.28,Summer,Weekday,Bus,Temple,0.66,0.37,94,3589,635,4293,10.5,Car,Hill Station,3.39
1054,Delhi,Shimla,312.3,10.02,Summer,Weekday,Walk,Museum,0.38,0.65,261,3185,1395,4772,8.5,Bike,Hill Station,1.55
1055,Kolkata,Mahabalipuram,598.9,10.84,Summer,Weekend,Car,Wildlife Park,0.35,0.51,123,3576,387,5997,23.0,Bus,Temple,3.31
1056,Delhi,Agra,33.6,7.51,Summer,Weekend,Car,Temple,0.29,0.84,190,2974,1265,6173,20.1,Bus,Beach,2.68
1057,Bangalore,Agra,346.6,3.46,Winter,Weekday,Walk,Wildlife Park,0.93,0.37,269,2606,596,4432,20.8,Car,Hill Station,2.82
1058,Bangalore,Ooty,461.6,1.56,Spring,Weekday,Bike,Wildlife Park,0.22,0.15,10,3236,233,1877,7.6,Walk,Museum,4.62
1059,Mumbai,Ooty,132.4,4.1,Winter,Weekend,Bus,Museum,0.3,0.61,164,1950,1162,4040,11.4,Bus,Hill Station,3.24
1060,Bangalore,Goa,140.0,9.46,Spring,Weekday,Car,Temple,0.88,0.82,204,2870,781,1700,15.2,Bike,Temple,3.96
1061,Kolkata,Mahabalipuram,218.7,1.73,Summer,Weekend,Car,Wildlife Park,0.65,0.57,130,2798,1103,3969,11.8,Walk,Beach,1.49
1062,Bangalore,Goa,174.2,8.52,Spring,Weekday,Car,Hill Station,0.75,0.66,248,574,1196,8176,13.7,Walk,Museum,1.57
1063,Delhi,Agra,137.1,3.68,Winter,Weekday,Bike,Wildlife Park,0.73,0.79,60,2628,797,4536,12.0,Bike,Museum,3.18
1064,Kolkata,Ooty,272.7,3.61,Spring,Weekend,Bike,Museum,0.26,0.53,72,2720,547,1038,11.3,Bus,Wildlife Park,2.26
1065,Mumbai,Goa,131.8,2.98,Monsoon,Weekday,Train,Wildlife Park,0.7,0.42,238,4515,1031,2818,10.5,Bike,Hill Station,3.67
1066,Mumbai,Agra,168.4,2.8,Monsoon,Weekday,Car,Temple,0.35,0.37,173,2810,1289,5205,9.5,Bus,Wildlife Park,2.23
1067,Delhi,Goa,129.4,7.84,Spring,Weekend,Bike,Temple,0.21,0.66,140,4115,736,8978,21.9,Bus,Museum,2.25
1068,Mumbai,Shimla,376.3,11.27,Summer,Weekday,Walk,Wildlife Park,0.83,0.41,9,621,811,2631,22.4,Bike,Museum,3.91
1069,Bangalore,Ooty,475.9,7.59,Summer,Weekend,Car,Hill Station,0.55,0.99,298,2029,351,2725,5.9,Train,Hill Station,2.66
1070,Bangalore,Shimla,124.8,1.59,Winter,Weekend,Walk,Museum,0.32,0.54,287,3485,967,2671,19.2,Bus,Beach,1.1
1071,Kolkata,Goa,385.2,8.37,Spring,Weekend,Bus,Wildlife Park,0.72,0.95,230,4091,206,2072,5.3,Bus,Museum,4.74
1072,Bangalore,Goa,12.5,6.66,Monsoon,Weekday,Walk,Beach,0.86,0.4,91,4001,658,4665,22.3,Car,Hill Station,1.16
1073,Bangalore,Goa,30.9,7.85,Winter,Weekend,Bus,Hill Station,0.86,0.67,83,1563,975,3148,12.8,Car,Beach,4.7
1074,Bangalore,Ooty,95.7,8.55,Summer,Weekday,Car,Beach,0.37,0.34,99,4755,597,6679,14.2,Train,Temple,2.66
1075,Mumbai,Ooty,54.8,7.18,Winter,Weekend,Bike,Museum,0.93,0.53,103,4183,341,8536,14.1,Walk,Temple,1.79
1076,Mumbai,Goa,319.5,7.5,Winter,Weekday,Train,Beach,0.93,0.64,150,2350,978,6163,16.0,Bike,Hill Station,2.98
1077,Bangalore,Agra,176.8,3.21,Monsoon,Weekend,Train,Wildlife Park,0.21,0.88,297,2911,224,2979,20.6,Bike,Museum,4.79
1078,Mumbai,Ooty,208.3,5.01,Summer,Weekday,Bus,Wildlife Park,0.58,0.59,178,2279,1067,2677,3.8,Bike,Museum,2.23
1079,Bangalore,Mahabalipuram,91.8,4.85,Summer,Weekend,Bus,Beach,0.7,0.55,82,2972,919,7588,22.4,Car,Hill Station,3.96
1080,Chennai,Agra,534.2,9.29,Winter,Weekday,Car,Museum,0.41,0.82,225,2519,603,8253,22.0,Walk,Wildlife Park,1.85
1081,Bangalore,Ooty,27.1,11.59,Monsoon,Weekday,Bike,Hill Station,0.32,0.33,217,4808,233,4500,16.8,Train,Museum,1.87
1082,Kolkata,Goa,401.4,4.83,Monsoon,Weekday,Train,Beach,0.81,0.21,207,3326,1071,6039,15.3,Bus,Temple,1.21
1083,Kolkata,Ooty,39.1,7.96,Winter,Weekend,Car,Beach,0.65,0.22,203,2974,1113,9926,14.8,Bike,Temple,1.59
1084,Bangalore,Ooty,551.5,6.13,Winter,Weekend,Bike,Museum,0.79,0.77,45,2106,609,8554,8.5,Walk,Temple,3.42
1085,Kolkata,Shimla,269.9,6.97,Summer,Weekend,Train,Temple,0.35,0.64,171,2237,553,3330,18.0,Car,Beach,4.65
1086,Kolkata,Goa,365.8,8.94,Summer,Weekday,Bike,Wildlife Park,0.88,0.93,296,1189,288,7409,15.2,Bike,Museum,2.13
1087,Mumbai,Agra,468.5,8.46,Winter,Weekday,Bike,Museum,0.73,0.88,231,859,744,6849,3.2,Bus,Beach,3.55
1088,Mumbai,Ooty,443.8,7.34,Monsoon,Weekday,Train,Wildlife Park,0.3,0.35,63,4865,441,3783,20.1,Car,Temple,2.95
1089,Chennai,Ooty,10.8,1.37,Winter,Weekend,Bike,Hill Station,0.6,0.96,189,4332,202,2439,19.9,Bus,Hill Station,2.38
1090,Bangalore,Ooty,584.6,11.39,Spring,Weekday,Bike,Wildlife Park,0.71,0.83,272,4686,1403,2249,14.1,Bus,Wildlife Park,4.15
1091,Chennai,Agra,439.4,3.84,Summer,Weekend,Car,Museum,0.78,0.21,108,4124,1345,5814,21.0,Bus,Hill Station,4.5
1092,Mumbai,Shimla,465.4,10.97,Winter,Weekend,Walk,Wildlife Park,0.7,0.18,140,2224,1012,9751,20.8,Train,Hill Station,1.67
1093,Delhi,Mahabalipuram,248.9,9.33,Winter,Weekend,Bus,Wildlife Park,0.71,0.8,78,4936,1199,4735,20.7,Bike,Temple,2.56
1094,Mumbai,Ooty,71.6,8.33,Summer,Weekday,Train,Beach,0.56,0.53,6,3689,1274,3353,10.8,Train,Beach,4.68
1095,Mumbai,Ooty,272.9,3.75,Spring,Weekday,Car,Museum,0.26,0.82,179,3515,1021,3189,9.3,Bus,Wildlife Park,4.63
1096,Bangalore,Agra,251.2,11.05,Spring,Weekday,Bike,Temple,0.31,0.15,93,3277,1098,8739,17.9,Walk,Hill Station,4.34
1097,Chennai,Ooty,275.2,10.42,Spring,Weekend,Walk,Beach,0.64,0.58,259,2642,613,2558,3.8,Train,Temple,4.89
1098,Delhi,Ooty,552.7,5.2,Winter,Weekend,Train,Hill Station,0.7,0.18,252,3222,1284,8654,16.7,Bus,Hill Station,4.28
1099,Kolkata,Shimla,315.9,2.24,Summer,Weekend,Bike,Hill Station,0.55,0.52,272,1065,718,2937,16.1,Car,Hill Station,3.93
1100,Bangalore,Goa,268.6,5.52,Monsoon,Weekend,Bike,Wildlife Park,0.77,0.78,226,2595,1302,1615,12.8,Bus,Wildlife Park,1.05
1101,Mumbai,Agra,385.8,9.94,Winter,Weekday,Walk,Temple,0.27,0.4,121,1732,1462,5403,15.6,Bus,Hill Station,2.43
1102,Kolkata,Shimla,416.5,10.26,Monsoon,Weekend,Walk,Museum,0.58,0.11,280,2787,1317,8022,11.2,Bike,Temple,3.76
1103,Chennai,Goa,320.3,3.89,Summer,Weekday,Train,Hill Station,0.73,0.39,50,1157,1231,3099,21.8,Car,Temple,1.27
1104,Kolkata,Mahabalipuram,52.2,11.66,Spring,Weekend,Walk,Temple,0.9,0.36,154,2701,1039,8101,13.7,Bike,Hill Station,3.15
1105,Bangalore,Goa,516.7,9.76,Winter,Weekday,Train,Temple,0.24,0.51,264,1416,675,1970,12.2,Bike,Wildlife Park,4.16
1106,Delhi,Agra,580.0,8.77,Monsoon,Weekday,Walk,Wildlife Park,0.92,0.91,141,3673,910,4426,7.5,Walk,Temple,3.18
1107,Kolkata,Goa,49.9,8.34,Spring,Weekend,Bus,Temple,0.68,0.44,282,4422,628,6995,20.7,Bike,Museum,2.18
1108,Kolkata,Mahabalipuram,441.5,6.32,Summer,Weekend,Bus,Wildlife Park,0.57,0.55,14,752,748,2632,6.2,Bike,Hill Station,1.4
1109,Delhi,Shimla,402.9,8.77,Winter,Weekend,Walk,Temple,0.64,0.3,26,2619,326,2199,20.7,Bike,Beach,2.14
1110,Delhi,Goa,225.4,2.57,Winter,Weekday,Car,Temple,0.39,0.17,136,3900,547,3941,23.9,Bus,Hill Station,2.27
1111,Kolkata,Goa,352.1,3.74,Winter,Weekend,Car,Hill Station,0.32,0.17,25,2989,840,5340,4.0,Bike,Temple,1.12
1112,Kolkata,Ooty,34.6,10.33,Monsoon,Weekend,Car,Hill Station,0.61,0.36,49,1847,603,9447,12.1,Walk,Museum,4.95
1113,Delhi,Shimla,455.4,10.75,Spring,Weekend,Train,Museum,0.56,0.92,255,3824,1210,4339,5.7,Walk,Museum,2.83
1114,Mumbai,Ooty,446.8,11.98,Winter,Weekday,Bus,Beach,0.42,0.98,87,3127,802,6869,22.7,Car,Beach,3.68
1115,Bangalore,Goa,33.5,6.65,Monsoon,Weekend,Train,Wildlife Park,0.43,0.19,102,3464,1057,6775,22.4,Bike,Wildlife Park,2.89
1116,Mumbai,Goa,260.9,5.27,Spring,Weekday,Walk,Beach,0.6,0.94,5,906,1466,8881,19.2,Car,Museum,1.56
1117,Chennai,Mahabalipuram,415.8,8.43,Monsoon,Weekend,Walk,Hill Station,0.79,0.81,44,3799,1179,5508,21.0,Train,Beach,1.45
1118,Mumbai,Mahabalipuram,326.8,7.51,Monsoon,Weekday,Car,Wildlife Park,0.51,0.8,165,4318,1461,9716,18.3,Walk,Hill Station,4.31
1119,Kolkata,Ooty,87.4,7.06,Spring,Weekday,Bus,Wildlife Park,0.88,0.9,205,2291,320,9073,17.3,Bike,Museum,1.18
1120,Kolkata,Agra,360.2,9.33,Monsoon,Weekday,Car,Wildlife Park,0.61,0.31,284,3372,444,2171,18.3,Train,Wildlife Park,1.11
1121,Kolkata,Mahabalipuram,557.1,7.46,Summer,Weekend,Train,Hill Station,0.51,0.9,129,3805,918,5754,11.4,Walk,Wildlife Park,1.23
1122,Mumbai,Agra,41.1,10.28,Winter,Weekday,Bus,Beach,0.72,0.21,158,3470,784,7958,4.2,Bike,Museum,4.49
1123,Chennai,Goa,69.6,7.48,Monsoon,Weekday,Car,Hill Station,0.25,0.55,250,4254,1050,6852,9.7,Bike,Museum,4.16
1124,Chennai,Agra,527.7,4.71,Monsoon,Weekday,Bike,Temple,0.66,0.34,35,2775,705,5809,10.1,Train,Museum,2.36
1125,Mumbai,Goa,50.7,9.85,Monsoon,Weekend,Train,Hill Station,0.7,0.18,174,1638,423,6519,4.7,Walk,Temple,2.31
1126,Mumbai,Shimla,344.9,4.12,Winter,Weekday,Car,Wildlife Park,0.93,0.79,118,2022,791,5131,17.5,Walk,Museum,2.35
1127,Chennai,Mahabalipuram,400.9,7.52,Winter,Weekend,Car,Beach,0.97,0.68,243,2854,1132,2612,17.8,Bus,Museum,4.76
1128,Delhi,Ooty,152.4,7.51,Summer,Weekday,Walk,Museum,0.85,0.65,298,1150,878,9165,23.7,Walk,Wildlife Park,2.35
1129,Chennai,Goa,371.5,4.49,Summer,Weekday,Car,Beach,0.81,0.84,31,2763,987,9664,6.3,Car,Temple,3.88
1130,Kolkata,Goa,380.2,11.09,Monsoon,Weekend,Bus,Museum,0.47,0.49,284,4956,635,1199,17.7,Bike,Beach,2.61
1131,Chennai,Mahabalipuram,341.7,6.17,Summer,Weekday,Bike,Wildlife Park,0.51,0.8,152,4899,1020,7487,14.2,Walk,Hill Station,4.4
1132,Kolkata,Shimla,394.8,6.69,Winter,Weekend,Car,Wildlife Park,0.93,0.61,176,4731,1465,8930,7.8,Bike,Temple,2.1
1133,Kolkata,Mahabalipuram,540.5,11.04,Spring,Weekend,Bus,Temple,0.93,0.32,53,1870,1103,5281,10.0,Car,Temple,3.73
1134,Delhi,Ooty,224.8,2.42,Summer,Weekday,Walk,Museum,0.24,0.6,15,1568,1151,9453,4.4,Train,Temple,1.14
1135,Chennai,Mahabalipuram,442.4,5.56,Monsoon,Weekday,Car,Museum,0.47,0.16,161,817,227,8830,5.2,Train,Temple,3.23
1136,Delhi,Goa,157.4,10.07,Winter,Weekend,Train,Museum,0.99,0.27,127,2248,920,2153,15.5,Bus,Hill Station,4.2
1137,Delhi,Mahabalipuram,225.5,5.92,Monsoon,Weekday,Car,Hill Station,0.65,0.19,131,3848,422,3732,17.7,Walk,Wildlife Park,3.65
1138,Bangalore,Shimla,233.4,5.25,Spring,Weekday,Bus,Museum,0.43,0.47,182,895,1391,7451,6.5,Walk,Museum,4.59
1139,Mumbai,Mahabalipuram,457.0,10.96,Spring,Weekend,Car,Beach,0.66,0.74,131,4269,1327,6793,16.3,Train,Temple,3.69
1140,Bangalore,Goa,554.1,11.89,Monsoon,Weekend,Walk,Beach,0.69,0.81,294,780,1262,5232,22.4,Train,Beach,3.65
1141,Kolkata,Mahabalipuram,229.2,1.26,Monsoon,Weekday,Train,Hill Station,0.79,0.63,163,2169,1366,5639,14.4,Train,Hill Station,4.75
1142,Bangalore,Mahabalipuram,302.5,4.99,Monsoon,Weekend,Car,Temple,0.63,0.3,262,998,1099,1977,17.3,Train,Museum,4.47
1143,Bangalore,Agra,329.4,7.22,Summer,Weekday,Train,Temple,0.95,0.83,233,1316,1096,8373,11.2,Bike,Wildlife Park,3.78
1144,Chennai,Mahabalipuram,274.8,8.05,Monsoon,Weekday,Bike,Temple,0.22,0.91,277,1445,978,2331,17.0,Car,Wildlife Park,2.52
1145,Mumbai,Mahabalipuram,159.0,5.45,Monsoon,Weekend,Car,Hill Station,0.26,0.63,22,1364,827,6959,16.9,Bus,Beach,2.58
1146,Mumbai,Agra,165.3,9.08,Spring,Weekend,Car,Hill Station,0.27,0.75,252,761,310,8860,18.7,Bus,Museum,1.33
1147,Bangalore,Goa,191.3,1.69,Spring,Weekday,Bus,Beach,0.56,0.82,21,3387,982,7500,18.2,Car,Museum,3.84
1148,Delhi,Shimla,325.6,11.47,Monsoon,Weekend,Train,Temple,0.46,0.69,290,2590,229,9322,9.4,Train,Wildlife Park,3.71
1149,Delhi,Goa,22.2,9.77,Winter,Weekday,Car,Wildlife Park,0.2,0.61,4,900,1470,2403,13.9,Walk,Beach,3.71
1150,Chennai,Mahabalipuram,127.8,10.65,Summer,Weekday,Bike,Beach,0.28,0.38,252,1835,274,4220,13.9,Train,Beach,3.08
1151,Delhi,Mahabalipuram,272.5,11.64,Spring,Weekday,Bike,Hill Station,0.66,0.72,52,2317,502,5729,14.9,Bus,Hill Station,4.16
1152,Bangalore,Shimla,487.6,10.54,Monsoon,Weekend,Car,Museum,0.44,0.9,54,1790,627,9523,11.3,Bus,Hill Station,4.32
1153,Mumbai,Shimla,505.9,7.6,Spring,Weekday,Train,Beach,0.87,0.19,182,2348,795,7720,11.2,Bike,Beach,4.73
1154,Kolkata,Goa,446.7,6.21,Winter,Weekend,Car,Beach,0.23,0.53,177,1150,1296,6574,3.4,Train,Museum,1.26
1155,Kolkata,Ooty,49.7,10.76,Monsoon,Weekday,Bus,Wildlife Park,0.57,0.34,9,592,955,7898,5.9,Bike,Museum,1.36
1156,Kolkata,Ooty,481.5,2.34,Monsoon,Weekday,Bus,Beach,0.66,0.36,165,4647,906,6782,6.1,Bus,Wildlife Park,1.1
1157,Delhi,Goa,538.9,9.08,Spring,Weekday,Bus,Wildlife Park,0.77,0.98,88,4528,1436,4746,17.2,Car,Museum,4.99
1158,Mumbai,Agra,276.9,11.73,Spring,Weekday,Car,Hill Station,0.87,0.82,31,4224,828,5130,23.4,Bike,Wildlife Park,1.25
1159,Delhi,Mahabalipuram,536.4,8.83,Monsoon,Weekday,Train,Museum,0.75,0.64,58,2416,1445,3888,14.0,Walk,Museum,2.34
1160,Mumbai,Mahabalipuram,205.0,6.3,Summer,Weekend,Bike,Temple,0.32,0.25,242,2605,819,2712,2.1,Bike,Temple,2.53
1161,Bangalore,Agra,410.5,11.99,Spring,Weekend,Bike,Temple,0.67,0.56,120,2833,502,5560,16.4,Bus,Temple,2.75
1162,Chennai,Ooty,84.4,5.69,Spring,Weekend,Walk,Museum,0.98,0.14,101,3534,331,5341,14.2,Bus,Temple,2.71
1163,Delhi,Goa,476.2,8.41,Summer,Weekend,Bike,Museum,0.62,0.23,282,1845,930,6837,20.3,Bus,Museum,1.56
1164,Chennai,Ooty,251.0,4.72,Summer,Weekend,Car,Beach,0.46,0.24,62,4600,1039,1583,4.2,Walk,Wildlife Park,3.64
1165,Mumbai,Mahabalipuram,453.3,10.53,Winter,Weekday,Train,Beach,0.46,0.82,82,4494,636,3930,3.8,Bike,Beach,1.14
1166,Kolkata,Ooty,195.9,9.93,Winter,Weekend,Bus,Beach,0.4,0.77,298,531,1248,8651,6.4,Train,Wildlife Park,2.52
1167,Chennai,Goa,280.7,2.64,Monsoon,Weekend,Train,Wildlife Park,0.37,0.87,265,2801,1144,9381,9.8,Walk,Museum,1.89
1168,Delhi,Shimla,140.1,9.05,Summer,Weekend,Bike,Temple,0.96,0.47,102,3899,267,7420,23.8,Walk,Museum,4.44
1169,Delhi,Shimla,497.2,3.65,Winter,Weekend,Walk,Museum,0.82,0.22,299,4478,1186,9123,14.5,Car,Museum,1.82
1170,Delhi,Agra,362.7,7.1,Winter,Weekday,Bike,Wildlife Park,0.74,0.65,53,1679,831,5457,4.1,Train,Beach,4.02
1171,Mumbai,Goa,132.7,1.32,Winter,Weekday,Bike,Beach,0.51,0.85,169,3135,840,1261,10.3,Walk,Temple,2.95
1172,Kolkata,Ooty,232.1,1.33,Winter,Weekend,Car,Wildlife Park,0.74,0.19,11,1984,399,7113,3.2,Bus,Wildlife Park,4.27
1173,Mumbai,Goa,466.8,3.09,Monsoon,Weekend,Car,Museum,0.56,0.79,109,2580,495,9009,20.0,Bike,Museum,3.23
1174,Kolkata,Agra,227.8,2.07,Summer,Weekday,Walk,Temple,0.8,0.36,269,4941,737,8835,2.4,Train,Wildlife Park,1.82
1175,Kolkata,Agra,272.1,6.49,Spring,Weekday,Train,Museum,0.71,0.11,42,2634,1219,5255,12.1,Walk,Hill Station,4.58
1176,Mumbai,Agra,458.2,5.51,Winter,Weekend,Bike,Beach,0.89,0.85,133,4409,1083,2572,11.8,Train,Hill Station,4.81
1177,Mumbai,Agra,382.2,1.27,Monsoon,Weekend,Bike,Wildlife Park,0.5,0.25,215,2885,1102,5514,19.4,Walk,Hill Station,1.45
1178,Delhi,Shimla,178.0,7.78,Spring,Weekday,Train,Museum,0.65,0.27,240,4776,1442,8894,2.6,Train,Beach,4.99
1179,Mumbai,Ooty,283.5,2.72,Monsoon,Weekday,Bus,Beach,0.56,0.37,245,2372,804,4109,2.4,Walk,Beach,2.79
1180,Chennai,Goa,595.2,10.28,Spring,Weekend,Bike,Wildlife Park,0.5,0.53,12,2391,213,7437,22.6,Bus,Beach,3.43
